time,stage,stage_solid_fuel,stage_liquid_fuel,altitude,vertical_speed,ground_speed,air_speed,orbital_velocity,apoapsis,periapsis,apoapsis_eta,q_kpa,mass,max_thrust,available_thrust,max_twr,available_twr,throttle,target_pitch,trajectory_pitch,aoa
167143.189633683,4,1191.3658665816,0,90.2184786997968,1.92011742476188,0.00418054299756774,1.76739934066192,174.970436094608,79.8699993155897,-598435.296158093,0.161152675540222,0.000540654502212714,25.4687786102295,703.699584960938,452.126983642578,2.81676040267812,1.80976855933147,0.638898700447411,90,89.8512215672643,0.126684957667273
167143.429633683,4,1182.77659249306,0,90.9234476173297,3.80924807755717,0.00541184452821944,3.64963087996416,174.999500155752,81.1338805779815,-598435.292983183,0.354077183466529,0.00439484065975456,25.4042663574219,703.708312988281,452.132568359375,2.82394057558467,1.81438179715705,0.637271470165183,90,89.9163854703969,0.0678094189152159
167143.569633683,4,1177.72919289271,0,91.5464297246654,4.93149119794144,0.00885651075123782,4.7707559346542,175.026467087764,82.2620654208586,-598435.290037745,0.468990639827553,0.00861048235925061,25.3664016723633,703.716125488281,452.137603759766,2.82818977155713,1.81711189878984,0.636313516881502,90,89.897428248267,0.0525030833944395
167143.809633683,4,1169.06612801552,0,92.9814873907017,6.86825398461903,0.0182693494537111,6.70637949504684,175.089694919681,84.8726292636711,-598435.287002889,0.667390825720872,0.0192570780950968,25.3014259338379,703.734313964844,452.149261474609,2.83553549748024,1.82183144769321,0.634664608357666,90,89.8479954703237,0.0483755919317216
167144.049633683,4,1160.40044426918,0,94.8829824554268,8.81695594355841,0.0293101218923601,8.65419674981782,175.174491895787,88.3449307947885,-598435.288863863,0.867045016231828,0.0342555737398802,25.2364330291748,703.758453369141,452.164810180664,2.84294976913381,1.82659516872629,0.633009003566012,90,89.8083406074102,0.0730326990614589
167144.189633683,4,1155.34546208382,0,96.2086614718428,9.95874395262658,0.035432214099868,9.79546735269899,175.234045848091,90.7718374032993,-598435.291778175,0.984029852710023,0.0450352913552015,25.1985206604004,703.775390625,452.175689697266,2.84730585549769,1.82939399579786,0.632040312515074,90,89.7942742918215,0.0902146759362506
167144.429633683,4,1146.67977833748,0,98.8541301700752,11.9247631111444,0.0447226856736521,11.7605941909387,175.353791554159,95.6266720588319,-598435.297544356,1.18546964717302,0.0670389041006983,25.1335277557373,703.809204101563,452.197418212891,2.85482700897275,1.83422624371306,0.630374696925655,90,89.7825259997635,0.116662437385959
167144.569633683,4,1141.62479615211,0,100.615711377235,13.0766766163501,0.049289533129913,12.9119828098325,175.434147721032,98.8668518040795,-598435.299626611,1.30349968349429,0.0819519209665926,25.0956153869629,703.831756591797,452.211898803711,2.85924560987895,1.83706530651679,0.629400279695258,90,89.7812226059191,0.128710179338143
167144.809633682,4,1132.95911240578,0,104.011743990704,15.0600953970352,0.0557795960204921,14.8944941672603,175.589987222177,105.127601091634,-598435.303593246,1.506737402125,0.11112272456038,25.0306224822998,703.875213623047,452.239822387695,2.86687521565338,1.84196731083074,0.627724824030575,90,89.7849120391844,0.143522635545435
167145.049633682,4,1124.29342865944,0,107.885229857871,17.0545453120007,0.0609134534560628,16.888028660985,175.769336457021,112.288482898846,-598435.300327636,1.71111704987533,0.144902959509958,24.9656295776367,703.924774169922,452.271667480469,2.87457403779731,1.8469137865711,0.626043185433667,90,89.792562939693,0.152971971473526
167145.189633682,4,1119.23844647408,0,110.3663060033,18.2230833771112,0.0632914131134151,18.0560290739185,175.884950482045,116.885138119105,-598435.295609517,1.8308680161212,0.166761817228161,24.9277172088623,703.95654296875,452.292083740234,2.87909726943942,1.84981984833427,0.625059379765793,90,89.7982995122251,0.155973472364329
167145.429633682,4,1110.57276272774,0,115.001189564588,20.2351337916012,0.066609174327711,20.0671432406378,176.102022590011,125.49089332961,-598435.284714861,2.037071883728,0.207968754502915,24.8627243041992,704.015747070313,452.330108642578,2.88690676773562,1.85483755447038,0.623368066561389,90,89.8089351571811,0.158002611982977
167145.569633682,4,1105.51778054237,0,117.928377700155,21.414022989002,0.0681856231444034,21.2454857313781,176.239709091986,130.937585049309,-598435.278009869,2.15789703904142,0.234206100732702,24.8248119354248,704.053100585938,452.354095458984,2.89149481507152,1.85778537544307,0.622378688255369,90,89.8152205576263,0.158028965169364
167145.809633682,4,1096.85209679604,0,123.331400328083,23.4438725940196,0.0703412388248724,23.2743948407163,176.49491556522,141.012833536137,-598435.26590235,2.36595117436144,0.282997425804823,24.7598209381104,704.122009277344,452.398376464844,2.8994164410198,1.86287512053307,0.620677867889319,90,89.8259624663898,0.156304763883398
167146.049633682,4,1088.1864130497,0,129.223055192851,25.4849943340267,0.072010750746256,25.3145721072879,176.774575043375,152.028894267511,-598435.252435178,2.5751790944708,0.336656186848584,24.6948280334473,704.196960449219,452.446533203125,2.90740994933815,1.86801082567044,0.618970962366057,90,89.8361938069217,0.153050493315916
167146.189633682,4,1083.13143086433,0,132.886581514962,26.680862884319,0.072824189115254,26.5098886572142,176.949094050388,158.893342730822,-598435.24443023,2.69777244338945,0.370228312063532,24.6569156646729,704.243530273438,452.476440429688,2.91210576613139,1.87102792003608,0.617972604296977,90,89.8418223568497,0.150525577327672
167146.429633682,4,1074.465747118,0,139.557438707561,28.7398889919635,0.0740888504290141,28.5679662542665,177.267932423478,171.41937286465,-598435.231189993,2.908868532366,0.431713095039025,24.5919227600098,704.328063964844,452.530792236328,2.92021357509041,1.87623709483276,0.616256395916527,90,89.8507102086128,0.145125135397142
167146.569633682,4,1069.41076493263,0,143.677487943205,29.9462271025143,0.0748265503135035,29.7737501594338,177.465461632997,179.171986203641,-598435.224028446,3.03255557997954,0.469891984042312,24.5540103912354,704.380249023438,452.564300537109,2.92497661206142,1.87929747705128,0.615252624348459,90,89.8553736339386,0.141520192154774
167146.809633681,4,1060.74508118629,0,151.134368083905,32.0232413054512,0.0762275184519552,31.8498132256004,177.824081100692,193.23326246161,-598435.212059469,3.24553316139804,0.539344289885475,24.4890174865723,704.474365234375,452.624755859375,2.93319950253195,1.8845806962601,0.613527342039291,90,89.8623524232394,0.134728104824494
167147.049633681,4,1052.07939743996,0,159.091206146986,34.1116567681143,0.0781160985098018,33.9372759200923,178.208184757876,208.277333485661,-598435.200211615,3.45970563442398,0.613898863128505,24.4240245819092,704.574523925781,452.689117431641,2.94149677468519,1.88991164206098,0.611796280223685,90,89.8677292132626,0.128809181062395
167147.189633681,4,1047.02441525459,0,163.964679536293,35.3351784359931,0.0793700826640436,35.1602405763243,178.444103146949,217.510995770805,-598435.193528342,3.58519360144038,0.6597664514719,24.3861122131348,704.635681152344,452.728424072266,2.94637112904474,1.8930434874176,0.610783889443811,90,89.870320854978,0.126045130585507
167147.429633681,4,1038.35873150826,0,172.718746492988,37.4417139628648,0.0817653885181005,37.2658209210427,178.869026539469,234.1322471475,-598435.182332637,3.80126917244576,0.742506852026848,24.3211193084717,704.745300292969,452.798828125,2.95478623915892,1.8984501215533,0.609043955021756,90,89.8740277332656,0.122116301805532
167147.569633681,4,1033.30374932289,0,178.059268731158,38.6758267606183,0.0833075090696454,38.499376005311,179.128920832655,244.293518161285,-598435.17608931,3.92787101829612,0.793186656088284,24.2832069396973,704.811950683594,452.841674804688,2.9597294287482,1.90162614707757,0.608026499399461,90,89.8757799613021,0.120164826489212
167147.809633681,4,1024.63806557655,0,187.617446495453,40.8005523954754,0.0862543336913634,40.6231441925372,179.595190675833,262.51805281674,-598435.166291749,4.14586206027758,0.884238379001062,24.2182159423828,704.930847167969,452.918060302734,2.96826344495265,1.90710910018367,0.606277969278608,90,89.8781826464277,0.116960642775521
167148.049633681,4,1015.97238183022,0,197.687067133025,42.9367989350808,0.0896053940844795,42.758432065973,180.087785900584,281.768762632739,-598435.158531399,4.36506894110812,0.980600798490461,24.1532230377197,705.0556640625,452.998260498047,2.97687296454436,1.91264094028052,0.604524081624998,90,89.8798221531478,0.113919861962203
167148.189633681,4,1010.91739964485,0,203.798282602802,44.1882653525013,0.0918027064409322,44.0093404851644,180.387334512839,293.476412783377,-598435.155582854,4.49350235265598,1.03928246729356,24.1153106689453,705.131164550781,453.046752929688,2.98193040759037,1.91589020298922,0.603498527763071,90,89.8804157944564,0.112220553093024
167148.429633681,4,1002.25171589851,0,214.683335672715,46.3427874068698,0.0960814305310836,46.1629026882647,180.921759323668,314.373529168079,-598435.155654061,4.71464221888704,1.14414450579071,24.0503177642822,705.265075683594,453.132781982422,2.99066094553221,1.92149953521086,0.60173630296478,90,89.8807665467586,0.109769716021518
167148.56963368,4,997.19673371315,0,221.272251137183,47.6049397522763,0.098806564649813,47.4244940342124,181.245867528279,327.049431864289,-598435.156904008,4.84420718854818,1.20781600605135,24.0124053955078,705.345825195313,453.184692382813,2.99578892021347,1.92479430670662,0.600706030309104,90,89.8806507035604,0.109038520861592
167148.80963368,4,988.531049966812,0,232.97968607815,49.7778054113169,0.103904764770762,49.5963990592615,181.822762876264,349.61986009148,-598435.160997573,5.06729276187912,1.3212842462248,23.9474124908447,705.488830566406,453.276550292969,3.00464084124289,1.9304817710427,0.598935799657064,90,89.8800358723927,0.108361358236159
167149.04963368,4,979.865366220474,0,245.210096764611,51.9622769505509,0.109460131919441,51.7799096696065,182.426832486999,373.261047722306,-598435.165566119,5.29161235780947,1.44023874088349,23.8824195861816,705.637390136719,453.372039794922,3.01357097086064,1.93621925167915,0.597160515916476,90,89.8789874548803,0.108345397275226
167149.18963368,4,974.81038403511,0,252.587145997095,53.2419222471085,0.112915046664106,53.0589947863085,182.791788721455,387.550569291692,-598435.168614963,5.42303739871198,1.51217696875739,23.8445072174072,705.726684570313,453.429382324219,3.01881601227652,1.93958925198797,0.59612271370885,90,89.8781809685205,0.108884098916583
167149.42963368,4,966.144700288773,0,265.651348954649,55.4448124587761,0.119104822067372,55.2609210974386,183.439250638916,412.90944713552,-598435.171590384,5.64931988707843,1.63989194884648,23.7795143127441,705.884033203125,453.530456542969,3.02786918389965,1.94540585574813,0.594339881623688,90,89.8766596603787,0.110114423021991
167149.56963368,4,961.089718103409,0,273.516805592692,56.7352120593134,0.122890467455386,56.5507596240824,183.829675840505,428.20895835897,-598435.173039995,5.78189286840222,1.71696605502955,23.7416019439697,705.978332519531,453.591064453125,3.03318627298556,1.94882222956291,0.59329775397891,90,89.8756348758053,0.111127980971007
167149.80963368,4,952.424034357071,0,287.421789110405,58.9565684647179,0.129603497558241,58.7711521784607,184.520977877642,455.313121138141,-598435.173513787,6.01014962995333,1.85352580843108,23.6766090393066,706.144226074219,453.697662353516,3.04236417984866,1.95471891389339,0.591507493453691,90,89.873803268999,0.112902384054411
167150.04963368,4,943.758350610733,0,301.861432621372,61.189608719002,0.136652311736613,61.0032283183144,185.240088779249,483.53390723269,-598435.172025938,6.23965865933786,1.99571104284667,23.6116180419922,706.315490722656,453.807678222656,3.0516210459327,1.96066648772991,0.589712787975871,90,89.8718199801474,0.115109285874249
167150.18963368,4,938.703368425369,0,310.532572841388,62.4976219381149,0.140899561239038,62.3106784744569,185.672470941646,500.516167707043,-598435.170366382,6.37411930904693,2.08126135359776,23.5737056732178,706.417846679688,453.873443603516,3.05705735694931,1.96415938089513,0.588663843816847,90,89.8706200855034,0.116506416725771
167150.429633679,4,930.037684679031,0,325.824474768131,64.749203010998,0.148346788061493,64.5612933957032,186.435956197433,530.527909864206,-598435.164760776,6.60562054597148,2.23240838388356,23.5087127685547,706.597351074219,453.98876953125,3.06644019207438,1.97018778963538,0.586862162472814,90,89.8685228382034,0.118872477550329
167150.569633679,4,924.982702493668,0,334.994831501972,66.0680481853746,0.152848576897748,65.87957492834,186.894257573125,548.563171803835,-598435.16065586,6.74124697664263,2.32320499560714,23.4708003997803,706.704406738281,454.057586669922,3.07195013992643,1.97372796423944,0.585809278401754,90,89.8672589174275,0.120352058469333
167150.809633679,4,916.31701874733,0,351.146061631502,68.3382283822995,0.160676361848555,68.1487876318539,187.702315595447,580.39433757565,-598435.15057329,6.97475313110607,2.4833747859383,23.4058074951172,706.891967773438,454.178100585938,3.08145936782596,1.9798376684395,0.58400103825701,90,89.8650971963125,0.122618048465293
167151.049633679,4,907.651335000992,0,367.843641844345,70.6201809378104,0.168827780863421,70.4297707371639,188.538525800086,613.389397677383,-598435.139288109,7.20953151810733,2.6492690813476,23.3408145904541,707.08447265625,454.3017578125,3.09104888344709,1.98599877486991,0.582188751667851,90,89.8628573429835,0.124943138932272
167151.189633679,4,902.596352815628,0,377.83734965953,71.9567614651182,0.173689023238983,71.765785799732,189.039382670475,633.178579522995,-598435.131349339,7.34707484806717,2.7486916873493,23.3029022216797,707.199096679688,454.375396728516,3.09668004882039,1.98961695809377,0.581129798045455,90,89.8615376848834,0.126386626942162
